,Source,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score
31,BBC,"He was almost a professional footballer! ?

11 surprising things we learned from Matt Smith's Desert Island Discs:… https://t.co/TMfwinexEB",Sun Mar 04 15:30:29 +0000 2018,0.3382,0.13,0.87,0.0
32,BBC,? Meet the teenage chocolatier joining the ranks of Scotland's growing chocolate sector. https://t.co/FeIVc3FeZC,Sun Mar 04 15:00:06 +0000 2018,0.1779,0.124,0.876,0.0
33,BBC,"Two landscape artists begin a romance whilst working at Versailles. ?????

A Little Chaos | @BBCiPlayer |… https://t.co/szKKosJ2K2",Sun Mar 04 14:03:03 +0000 2018,0.0498,0.18,0.65,0.17
34,BBC,"RT @BBCSportWales: Can't get enough of this.

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Carlos…",Sun Mar 04 13:46:48 +0000 2018,0.802,0.298,0.702,0.0
35,BBC,"?? From #IsleOfDogs to #TombRaider, here are 9 films worth heading to the movies for in March. 
?… https://t.co/y1xGGocMuA",Sun Mar 04 13:30:06 +0000 2018,0.2263,0.101,0.899,0.0
36,BBC,"RT @BBCWomansHour: ?? @LadyBirdMovie's up for FIVE #Oscars this weekend ? @Saoirse_Ronan talks to us about the film's appeal, her real-life…",Sun Mar 04 12:57:19 +0000 2018,0.0,0.0,1.0,0.0
37,BBC,"RT @BBCSport: There are for four gold medals up for grabs at the Track Cycling World Championships today. ?

Watch the GB squad in action i…",Sun Mar 04 12:56:49 +0000 2018,0.4939,0.118,0.882,0.0
38,BBC,"RT @BBCSport: After the shocking news of Davide Astori's death, all Serie A fixtures today have been called off.

? https://t.co/rmqcHfLPUX…",Sun Mar 04 12:56:15 +0000 2018,-0.765,0.0,0.72,0.28
39,BBC,"RT @BBC6Music: ? Let's settle this, what's the greatest ever movie soundtrack or score?

This Sunday from 6-8pm #NP6Music is warming up for…",Sun Mar 04 12:55:43 +0000 2018,0.7003,0.225,0.775,0.0
40,BBC,? An aspiring writer decides to focus on the story of Mississippi's black maids - much to the consternation of her… https://t.co/bDLqgAXBfk,Sun Mar 04 12:33:04 +0000 2018,0.0,0.0,1.0,0.0
41,BBC,"Feeding time! ??
#AmazingHotels https://t.co/SnOXnczSAF",Sun Mar 04 12:00:07 +0000 2018,0.0,0.0,1.0,0.0
42,BBC,"RT @BBCEarth: In some parts of the ocean, it’s estimated that there are over half a million pieces of plastic for every square kilometre
#B…",Sun Mar 04 11:54:09 +0000 2018,0.0,0.0,1.0,0.0
43,BBC,Sir Roger Bannister: First man to run a mile in under four minutes dies at 88. https://t.co/CpLdZchwqi https://t.co/l7ujJ3kHE6,Sun Mar 04 11:34:05 +0000 2018,0.0,0.0,1.0,0.0
44,BBC,??? Two-year-old Daisy is a little litter-picking hero. https://t.co/EiYuQkQUlU,Sun Mar 04 11:00:02 +0000 2018,0.5141,0.322,0.678,0.0
45,BBC,Would you be able to resist this perfect layer of snow? ????https://t.co/36rTZveWl5,Sun Mar 04 10:33:01 +0000 2018,0.657,0.285,0.715,0.0
46,BBC,"?? Before you fry up your full English this morning, did you know just 1.5 sausages could reduce your lifespan by 3… https://t.co/TXZAcIZKVH",Sun Mar 04 09:30:03 +0000 2018,0.0,0.0,1.0,0.0
47,BBC,"RT @BBCRadio4: ? Looking for a new podcast?
? Loads of great ideas right here...
https://t.co/DJbWsiWc2D",Sat Mar 03 21:21:40 +0000 2018,0.6249,0.255,0.745,0.0
48,BBC,RT @bbcthree: Your regular reminder that Louis Theroux is a national treasure. https://t.co/vxTqbCttuQ,Sat Mar 03 19:36:06 +0000 2018,0.296,0.167,0.833,0.0
49,BBC,?? Some people just don't want to stop raving. https://t.co/agXVmmgVKZ,Sat Mar 03 19:00:05 +0000 2018,0.1695,0.17,0.72,0.11
50,BBC,"""You can’t dress it up. I said: ‘Mummy’s died’""

? Sky Sports anchor @SimonThomasSky, who lost his wife to cancer o… https://t.co/63Q2Wb37oX",Sat Mar 03 18:00:16 +0000 2018,-0.7717,0.0,0.729,0.271
51,BBC,"RT @BBCWorld: Come on Eileen. ???

https://t.co/KLrG8nMMJl",Sat Mar 03 17:58:00 +0000 2018,0.0,0.0,1.0,0.0
52,BBC,RT @BBCFood: CHOCOLATE CAKE KLAXON ? https://t.co/u1wNGs8Vtm https://t.co/UOi707IOaG,Sat Mar 03 17:57:56 +0000 2018,0.0,0.0,1.0,0.0
53,BBC,"RT @BBCBreaking: One person suffers ""self-inflicted gun shot wound"" outside the White House, US Secret Service says https://t.co/Bv5sB11BSC",Sat Mar 03 17:46:46 +0000 2018,-0.6705,0.0,0.744,0.256
54,BBC,?? A mum's tribute to her son Tristan who has Asperger's syndrome. https://t.co/LTZ02FX24V,Sat Mar 03 17:00:03 +0000 2018,0.0,0.0,1.0,0.0
55,BBC,"? Less than one-10th of 1% of all species that have ever lived became fossils. 

But from skipping a coffin to avoi… https://t.co/20s85EmMhJ",Sat Mar 03 16:00:08 +0000 2018,0.0,0.0,1.0,0.0
56,BBC,"RT @bbcpress: ? ? @IanMcKellen, @francesbarber13 and Simon Russell Beale star in a new adaptation of #ParadiseLost @BBCRadio4 - https://t.c…",Sat Mar 03 15:26:56 +0000 2018,0.0,0.0,1.0,0.0
